Anul,Titlu
1913,Geweldige brand.
1912,Uit de Petroleunv-industrfe.
1929,ROEMENIE. WEER EEN ONTPLOFFING. Arbeiders gewond.
1919,Astra Romana.
1913,ROEMENIË
1959,Appel en anderen in de Kunstkring
1930,GASONTPLOFFING IN EEN TUNNEL. Eén doode en 29 gewonden.
1931,Brand in petroleumbronnen
1931,Brand in petroleumbronnen
1934,Technische Hoogeschool
1930,Ernstige ontploffing te Roemenië
1931,NIEUWE PETROLEUMBRAND. De gebluschte Sonde weder In lichte laaie.
1928,NEDERLANDER IN ROEMENIË VERONGELUKT.
1931,Groote petroleumbrand.
1930,De olie brandt hier al zeven maanden.
1929,DE BALKAN.
1956,Mattheus-Passion in de Buurkerk
1912,PETROLEUM BRAND.
1926,STEAUA ROMANA. Nieuwe concessies op staatsterreinen.
1920,Astra Romana.
1921,Astra Romana.
1895,GEREFORMEERDE KFRK
1929,HONGARIJE. Stoomketel ontploft. 10 dooden.
1929,BRAND OP EEN ROEMEENSCH OLIEVELD
1929,BRAND OP EEN ROEMEENSCH OLIEVELD
1931,PETROLEUMBRAND IN ROEMENIË
1931,Petroleum-induatrie
1931,Petroleum-industrie.
1930,Petroieum-induslrie.
1931,Petrolstim-industrie.
1929,DEN BALKAN. ERNSTIGE ONTPLOFFING.
1931,Patroleuminduatria.
1928,BRAND OP DE ROEMEENSCHE PETROLEUMVELDEN.
1906,Internatienale Rumeensche Petroleum-Mpij.
1927,Brand in een petroleumveld Reeds zijn 17 verkoolde lijken geborgen.
1930,De olie brandt bier al zeven maanden.
1919,Astra Romana.
1926,STEUA ROMANA. Bron no. 210 Moreni Pascov binnenkort wederom in productie.
1926,ROUMANO- BELGE DES PÉTROLES. Binnenkort aanboring van verschil' lende bronnen verwacht.
1906,Internationale.
1929,De petroleum te bronnen te Moren (Roemenië) staan reeds drie maanden in brand.
1929,ROEMENIE.
1912,Uit de Petroleum-Industrie.
1989,Titel Steaua
1925,Astra Romana.
1929,Petroleumbranden in Rumenië duren voort.
1930,PETROLEUMBRON BRANDT REEDS 8 MAANDEN.
1929,DE BRAND IN DE OLIE-
1929,"Noodlottige stoomketelontploffing Tien dooden,8 zwaar gewonden."
1917,Operatiën ter Zee.
1929,STEAUA ROMANA. Productie 1—15 Juni 3.230 wagons (Mei 6.894).
1928,INDUSTRIA ROMANA DE PETROL. Bron 2 Ochiuri in productie.
1939,Voormalige Poolsche ministers naar Herkulesbad.
1930,Ontploffing in Roemenië.
1913,Astra Romana.
